dataset,target_size,algorithm,time,metric1,metric2
LUCAS (Downsampled),20,BSDR,18.33,0.48,0.1
LUCAS (Downsampled),20,BS-Net-FC,93.86,0.5,0.1
LUCAS (Downsampled),20,MCUVE,1.78,0.48,0.1
LUCAS (Downsampled),20,PCA-loading,0.64,0.44,0.1
LUCAS (Downsampled),20,LASSO,0.02,0.37,0.12
LUCAS (Downsampled),20,SPA,22.85,0.48,0.1
LUCAS (Downsampled),25,BSDR,19.78,0.51,0.09
LUCAS (Downsampled),25,BS-Net-FC,93.86,0.48,0.1
LUCAS (Downsampled),25,MCUVE,1.81,0.46,0.1
LUCAS (Downsampled),25,PCA-loading,0.66,0.35,0.11
LUCAS (Downsampled),25,LASSO,0.02,0.3,0.12
LUCAS (Downsampled),25,SPA,28.13,0.49,0.1
LUCAS (Downsampled),30,BSDR,21.07,0.45,0.1
LUCAS (Downsampled),30,BS-Net-FC,93.86,0.48,0.1
LUCAS (Downsampled),30,MCUVE,1.81,0.39,0.1
LUCAS (Downsampled),30,PCA-loading,0.77,0.46,0.1
LUCAS (Downsampled),30,LASSO,0.02,0.32,0.12
LUCAS (Downsampled),30,SPA,31.32,0.52,0.09
LUCAS (Truncated),5,BSDR,14.86,0.33,0.11
LUCAS (Truncated),5,BS-Net-FC,5.52,0.12,0.14
LUCAS (Truncated),5,MCUVE,4.01,0.08,0.23
LUCAS (Truncated),5,PCA-loading,0.29,0.08,0.19
LUCAS (Truncated),5,LASSO,0.16,0.03,0.25
LUCAS (Truncated),5,SPA,777.84,0.28,0.12
LUCAS (Truncated),10,BSDR,14.94,0.26,0.12
LUCAS (Truncated),10,BS-Net-FC,5.52,0.17,0.13
LUCAS (Truncated),10,MCUVE,4.23,0.13,0.18
LUCAS (Truncated),10,PCA-loading,1.02,0.08,0.25
LUCAS (Truncated),10,LASSO,0.16,0.01,0.39
LUCAS (Truncated),10,SPA,1556.44,0.22,0.12
LUCAS (Truncated),15,BSDR,15.13,0.22,0.13
LUCAS (Truncated),15,BS-Net-FC,5.52,0.15,0.13
LUCAS (Truncated),15,MCUVE,4.03,0.08,0.39
LUCAS (Truncated),15,PCA-loading,1.31,0.05,0.4
LUCAS (Truncated),15,LASSO,0.16,0.0,0.26
LUCAS (Truncated),15,SPA,2081.47,0.16,0.13
LUCAS (Truncated),20,BSDR,15.39,0.18,0.13
LUCAS (Truncated),20,BS-Net-FC,5.52,0.12,0.13
LUCAS (Truncated),20,MCUVE,4.1,0.15,0.21
LUCAS (Truncated),20,PCA-loading,1.75,0.06,0.51
LUCAS (Truncated),20,LASSO,0.16,0.0,0.32
LUCAS (Truncated),20,SPA,2161.09,0.66,0.07
LUCAS (Truncated),25,BSDR,15.48,0.16,0.13
LUCAS (Truncated),25,BS-Net-FC,5.52,0.1,0.14
LUCAS (Truncated),25,MCUVE,4.16,0.14,0.19
LUCAS (Truncated),25,PCA-loading,1.9,0.04,0.5
LUCAS (Truncated),25,LASSO,0.16,0.0,0.47
LUCAS (Truncated),25,SPA,2816.21,0.69,0.07
LUCAS (Truncated),30,BSDR,15.42,0.13,0.13
LUCAS (Truncated),30,BS-Net-FC,5.52,0.09,0.14
LUCAS (Truncated),30,MCUVE,4.16,0.12,0.43
LUCAS (Truncated),30,PCA-loading,2.03,0.04,0.4
LUCAS (Truncated),30,LASSO,0.16,0.0,0.42
LUCAS (Truncated),30,SPA,3394.52,0.66,0.07
Indian Pines,5,BSDR,25.72,0.66,0.61
Indian Pines,5,BS-Net-FC,44.84,0.56,0.49
Indian Pines,5,MCUVE,2.21,0.51,0.41
Indian Pines,5,PCA-loading,0.09,0.53,0.44
Indian Pines,5,LASSO,0.62,0.58,0.52
Indian Pines,5,SPA,18.96,0.5,0.43
Indian Pines,10,BSDR,25.99,0.7,0.66
Indian Pines,10,BS-Net-FC,44.84,0.58,0.52
Indian Pines,10,MCUVE,2.19,0.54,0.46
Indian Pines,10,PCA-loading,0.5,0.56,0.5
Indian Pines,10,LASSO,0.62,0.62,0.56
Indian Pines,10,SPA,35.57,0.49,0.42
Indian Pines,15,BSDR,26.29,0.74,0.7
Indian Pines,15,BS-Net-FC,44.84,0.6,0.54
Indian Pines,15,MCUVE,2.18,0.56,0.5
Indian Pines,15,PCA-loading,0.86,0.53,0.47
Indian Pines,15,LASSO,0.62,0.65,0.6
Indian Pines,15,SPA,57.03,0.49,0.42
Indian Pines,20,BSDR,26.78,0.75,0.71
Indian Pines,20,BS-Net-FC,44.84,0.64,0.59
Indian Pines,20,MCUVE,2.25,0.56,0.5
Indian Pines,20,PCA-loading,0.65,0.54,0.48
Indian Pines,20,LASSO,0.62,0.67,0.62
Indian Pines,20,SPA,83.88,0.52,0.45
Indian Pines,25,BSDR,27.22,0.75,0.71
Indian Pines,25,BS-Net-FC,44.84,0.67,0.63
Indian Pines,25,MCUVE,2.2,0.59,0.53
Indian Pines,25,PCA-loading,0.75,0.55,0.49
Indian Pines,25,LASSO,0.62,0.65,0.6
Indian Pines,25,SPA,100.21,0.54,0.47
Indian Pines,30,BSDR,27.9,0.76,0.73
Indian Pines,30,BS-Net-FC,44.84,0.68,0.64
Indian Pines,30,MCUVE,2.18,0.64,0.59
Indian Pines,30,PCA-loading,0.86,0.59,0.53
Indian Pines,30,LASSO,0.62,0.66,0.62
Indian Pines,30,SPA,117.62,0.57,0.51
GHSI,5,BSDR,21.52,0.65,0.51
GHSI,5,BS-Net-FC,30.56,0.62,0.46
GHSI,5,MCUVE,1.17,0.49,0.25
GHSI,5,PCA-loading,0.06,0.65,0.51
GHSI,5,LASSO,0.12,0.64,0.51
GHSI,5,SPA,8.37,0.63,0.48
GHSI,10,BSDR,21.18,0.68,0.56
GHSI,10,BS-Net-FC,30.56,0.65,0.51
GHSI,10,MCUVE,1.17,0.54,0.35
GHSI,10,PCA-loading,0.5,0.64,0.5
GHSI,10,LASSO,0.12,0.67,0.54
GHSI,10,SPA,14.74,0.7,0.58
GHSI,15,BSDR,21.25,0.72,0.61
GHSI,15,BS-Net-FC,30.56,0.69,0.57
GHSI,15,MCUVE,1.16,0.61,0.46
GHSI,15,PCA-loading,0.48,0.64,0.49
GHSI,15,LASSO,0.12,0.67,0.54
GHSI,15,SPA,20.76,0.74,0.63
GHSI,20,BSDR,21.53,0.72,0.61
GHSI,20,BS-Net-FC,30.56,0.69,0.58
GHSI,20,MCUVE,1.15,0.63,0.49
GHSI,20,PCA-loading,0.63,0.65,0.52
GHSI,20,LASSO,0.12,0.69,0.56
GHSI,20,SPA,26.68,0.74,0.63
GHSI,25,BSDR,21.63,0.73,0.63
GHSI,25,BS-Net-FC,30.56,0.72,0.61
GHSI,25,MCUVE,1.16,0.64,0.5
GHSI,25,PCA-loading,0.65,0.69,0.57
GHSI,25,LASSO,0.12,0.68,0.56
GHSI,25,SPA,31.99,0.74,0.63
GHSI,30,BSDR,21.96,0.74,0.63
GHSI,30,BS-Net-FC,30.56,0.72,0.61
GHSI,30,MCUVE,1.16,0.64,0.5
GHSI,30,PCA-loading,0.75,0.7,0.58
GHSI,30,LASSO,0.12,0.68,0.55
GHSI,30,SPA,39.24,0.74,0.63
LUCAS,5,All Bands,0.0,0.14,0.13
LUCAS,10,All Bands,0.0,0.14,0.13
LUCAS,15,All Bands,0.0,0.14,0.13
LUCAS,20,All Bands,0.0,0.14,0.13
LUCAS,25,All Bands,0.0,0.14,0.13
LUCAS,30,All Bands,0.0,0.14,0.13
LUCAS (Skipped),5,All Bands,0.0,0.6,0.09
LUCAS (Skipped),10,All Bands,0.0,0.6,0.09
LUCAS (Skipped),15,All Bands,0.0,0.6,0.09
LUCAS (Skipped),20,All Bands,0.0,0.6,0.09
LUCAS (Skipped),25,All Bands,0.0,0.6,0.09
LUCAS (Skipped),30,All Bands,0.0,0.6,0.09
LUCAS (Downsampled),5,All Bands,0.0,0.6,0.09
LUCAS (Downsampled),10,All Bands,0.0,0.6,0.09
LUCAS (Downsampled),15,All Bands,0.0,0.6,0.09
LUCAS (Downsampled),20,All Bands,0.0,0.6,0.09
LUCAS (Downsampled),25,All Bands,0.0,0.6,0.09
LUCAS (Downsampled),30,All Bands,0.0,0.6,0.09
LUCAS (Truncated),5,All Bands,0.0,0.0,0.15
LUCAS (Truncated),10,All Bands,0.0,0.0,0.15
LUCAS (Truncated),15,All Bands,0.0,0.0,0.15
LUCAS (Truncated),20,All Bands,0.0,0.0,0.15
LUCAS (Truncated),25,All Bands,0.0,0.0,0.15
LUCAS (Truncated),30,All Bands,0.0,0.0,0.15
Indian Pines,5,All Bands,0.0,0.74,0.7
Indian Pines,10,All Bands,0.0,0.74,0.7
Indian Pines,15,All Bands,0.0,0.74,0.7
Indian Pines,20,All Bands,0.0,0.74,0.7
Indian Pines,25,All Bands,0.0,0.74,0.7
Indian Pines,30,All Bands,0.0,0.74,0.7
GHSI,5,All Bands,0.0,0.72,0.61
GHSI,10,All Bands,0.0,0.72,0.61
GHSI,15,All Bands,0.0,0.72,0.61
GHSI,20,All Bands,0.0,0.72,0.61
GHSI,25,All Bands,0.0,0.72,0.61
GHSI,30,All Bands,0.0,0.72,0.61
